ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0032715,negative regulation of interleukin-6 production,44,0.5224086030601378,1.8270294408574652,7.212272313416649e-4,0.023133277794900278,0.020078231358242334,2746,"tags=43%, list=20%, signal=35%",378425/11829/229521/56715/19261/57781/21929/14727/73914/21926/15170/14728/12523/15223/20128/230738/16331/105855/56501
GO:0033047,regulation of mitotic sister chromatid segregation,53,0.5033522745805578,1.824850624732986,7.314870448980325e-4,0.023133277794900278,0.020078231358242334,3454,"tags=53%, list=25%, signal=40%",74335/68014/268697/107995/56150/229841/66977/20877/12534/208628/70385/76464/11799/18817/12235/75430/214444/22137/22680/51810/66442/70799/67052/12236/67141/101706/235661/52276
GO:0032963,collagen metabolic process,101,0.40891152023543853,1.6799041062795623,7.275157150178196e-4,0.023133277794900278,0.020078231358242334,2863,"tags=42%, list=21%, signal=33%",17381/19016/20296/18787/12843/17386/170829/12406/12833/52377/12842/58994/17390/17534/12831/18624/18596/210530/14284/100952/22417/216725/13040/17385/80748/22352/13110/234911/76293/268977/26561/18128/14789/18591/21809/14219/13038/15901/114886/11490/26427/14062
GO:0015711,organic anion transport,329,0.3167166184302237,1.5035093401175679,7.206082364924222e-4,0.023133277794900278,0.020078231358242334,2480,"tags=27%, list=18%, signal=23%",12491/13117/666168/100040843/74114/26457/11520/22228/18670/14079/73095/53357/19016/76408/16181/26357/67473/14081/26874/69309/12623/55951/19156/171405/26458/27376/18023/114644/20503/104910/236293/12895/18671/216227/68267/54403/236149/12738/21825/98256/268860/54208/56615/12140/19735/52710/11539/268706/17869/19300/20517/217593/67452/20519/14719/330962/74777/384783/216974/217325/382044/103511/54338/16952/20963/625098/68401/21926/56857/212555/20525/16513/11740/20501/27416/14609/18479/224814/27421/11833/80879/65106/18173/239273/13614/14080/319653/104158
GO:0060070,canonical Wnt signaling pathway,241,-0.2899674842017658,-1.4739821444343377,7.306592250672317e-4,0.023133277794900278,0.020078231358242334,2166,"tags=30%, list=16%, signal=26%",59036/50523/16798/14184/56612/93687/229473/20042/73668/606496/21414/11789/17847/29806/330938/233328/56458/14370/17128/13543/70790/432940/74996/11798/76425/114604/14797/21833/12156/20423/12389/23988/12550/74256/107746/269424/22412/70425/67974/20668/56736/13542/13649/106042/56274/13726/14183/107515/55978/70300/21415/72125/19043/23802/12387/68031/21888/68889/20969/16600/234130/114606/14042/16646/19211/66241/13205/12005/433759/100503386/67457/67087/53614
GO:0034389,lipid droplet organization,36,0.5609960490034185,1.8796824870873217,7.477215823832679e-4,0.023518875069666142,0.020412905560596984,1392,"tags=31%, list=10%, signal=28%",14311/232370/12683/228859/11520/68680/76763/320951/19221/217695/229285
GO:0106106,cold-induced thermogenesis,131,0.3849229353678181,1.636155174478132,7.651357104083634e-4,0.023937229563797135,0.020776010970794158,2660,"tags=32%, list=19%, signal=26%",232370/12491/18559/12683/22228/56636/11668/67460/19016/14081/15107/11363/12896/66082/16819/14373/54635/23794/94187/224860/12772/216820/15183/26381/16190/20586/333050/14683/21887/20963/14609/12686/18128/108097/319765/209446/104158/11647/11556/15901/216190/11770
GO:0002703,regulation of leukocyte mediated immunity,214,0.3526319947300257,1.608653806850836,7.725185174953188e-4,0.024038958573824917,0.020864305358528228,2962,"tags=32%, list=21%, signal=26%",19368/379043/20850/16453/68667/20296/56792/12479/19204/12520/83433/56632/56644/13051/105352/20723/235587/56708/14990/52118/56715/12772/16783/24088/26904/64817/14129/14727/16643/217303/74131/14825/16190/28040/15216/58185/216799/11622/20963/14204/21926/21939/20851/15170/14728/12010/17221/12523/15510/60533/12480/15223/20911/18762/109934/15024/105855/22376/16859/20375/71890/243864/22177/14131/16414/16197/14964/22324/19264
GO:0007094,mitotic spindle assembly checkpoint signaling,44,0.5200536441404039,1.818793398699736,8.272536270496317e-4,0.02533573082000951,0.021989822174981345,3454,"tags=55%, list=25%, signal=41%",74335/68014/268697/107995/56150/229841/66977/20877/208628/70385/76464/11799/18817/12235/75430/214444/22137/22680/66442/70799/67052/12236/235661/52276
GO:0071173,spindle assembly checkpoint signaling,44,0.5200536441404039,1.818793398699736,8.272536270496317e-4,0.02533573082000951,0.021989822174981345,3454,"tags=55%, list=25%, signal=41%",74335/68014/268697/107995/56150/229841/66977/20877/208628/70385/76464/11799/18817/12235/75430/214444/22137/22680/66442/70799/67052/12236/235661/52276
GO:0071375,cellular response to peptide hormone stimulus,292,-0.2849559784256556,-1.478605188271399,8.248705814126899e-4,0.02533573082000951,0.021989822174981345,1862,"tags=23%, list=13%, signal=21%",18576/26365/110784/11545/18761/53610/98415/16173/26413/22628/20852/20588/12389/18795/17274/22724/11421/22433/18519/19271/13688/56041/11450/20383/18710/20845/54601/20402/19247/19268/18605/11652/17842/15461/13631/51788/100102/20662/16000/14600/93896/213053/12387/56392/17975/14870/72508/18708/11625/68054/108083/26379/19211/192157/16323/14245/20528/11651/226781/231070/14718/14121/14732/227231/11898/103988/20787/18770
GO:0010965,regulation of mitotic sister chromatid separation,55,0.49773081491117077,1.8243603332977665,8.543998784785707e-4,0.02544506752185502,0.022084719561121985,3454,"tags=51%, list=25%, signal=38%",74335/68014/268697/107995/56150/229841/66977/20877/59008/208628/70385/68612/76464/11799/18817/12235/75430/214444/22137/22680/66442/70799/67052/12236/68501/67141/235661/52276
GO:0022404,molting cycle process,87,-0.40117214458310907,-1.75054523203207,8.49083317551902e-4,0.02544506752185502,0.022084719561121985,2230,"tags=33%, list=16%, signal=28%",11789/18590/17128/16825/192119/13039/20423/56407/71609/13649/14183/107515/16206/20662/70300/14313/12387/27419/19015/234130/227377/14042/433864/16323/28114/433759/11651/12614/76560
